iter	MultiClass
0	1.376320283
1	1.366576219
2	1.357163719
3	1.348102563
4	1.338916559
5	1.329709002
6	1.320699741
7	1.312167061
8	1.303361414
9	1.294860874
10	1.286809599
11	1.278718597
12	1.270443432
13	1.262224231
14	1.254338676
15	1.246825735
16	1.239323238
17	1.232152773
18	1.224711455
19	1.217478005
20	1.210507672
21	1.203797213
22	1.19673885
23	1.190156392
24	1.183508635
25	1.176961899
26	1.170616463
27	1.16453975
28	1.158242819
29	1.15191675
30	1.145653806
31	1.13961444
32	1.1336691
33	1.127778863
34	1.12213913
35	1.116441374
36	1.110657347
37	1.105041225
38	1.099607489
39	1.094138955
40	1.08869385
41	1.083288352
42	1.077981461
43	1.072781018
44	1.067712776
45	1.062631748
46	1.05766165
47	1.052841107
48	1.048069706
49	1.043435491
50	1.038747326
51	1.034093697
52	1.029545872
53	1.024917566
54	1.02049193
55	1.01603533
56	1.011699973
57	1.007464261
58	1.003262201
59	0.9989745804
60	0.9948140436
61	0.9906090859
62	0.9864218539
63	0.9825169845
64	0.9786904833
65	0.9746137903
66	0.9708049425
67	0.9666926924
68	0.9627673199
69	0.9589626978
70	0.9552529368
71	0.9517289837
72	0.9478862393
73	0.9441481923
74	0.9406292125
75	0.9370974043
76	0.9336365789
77	0.9302414589
78	0.926725933
79	0.9233820636
80	0.9200870506
81	0.9167730182
82	0.9134871402
83	0.9101986437
84	0.9068269901
85	0.9035608639
86	0.9003569703
87	0.8972246001
88	0.894042454
89	0.890928185
90	0.8878006911
91	0.8846278702
92	0.8816867703
93	0.8786581218
94	0.8756831213
95	0.8728478609
96	0.8700078157
97	0.8671340105
98	0.8643327491
99	0.86149657
100	0.8586725721
101	0.8560753178
102	0.8533152162
103	0.8506351881
104	0.8480373364
105	0.8454004808
106	0.8427965476
107	0.8401327982
108	0.8374746053
109	0.834906297
110	0.832479854
111	0.8300278165
112	0.8275071144
113	0.8248768825
114	0.8224168718
115	0.8199991765
116	0.8174969492
117	0.8150959348
118	0.8126161564
119	0.810261103
120	0.8078947348
121	0.8056414545
122	0.8033644918
123	0.8009187291
124	0.7987898909
125	0.7964962246
126	0.794245342
127	0.7919936971
128	0.7897747618
129	0.7876184957
130	0.7854164998
131	0.7832497722
132	0.7811134666
133	0.7790439669
134	0.7768525076
135	0.7747854109
136	0.7726793925
137	0.7707033517
138	0.7686218439
139	0.7665120471
140	0.7644936122
141	0.7624851691
142	0.7606410406
143	0.7587970275
144	0.7568419712
145	0.7549297541
146	0.7531244094
147	0.7512857205
148	0.7493844311
149	0.747484181
150	0.7456391412
151	0.743734496
152	0.7418249633
153	0.7400400151
154	0.7383853154
155	0.7365720501
156	0.7348399164
157	0.7330277079
158	0.7311947215
159	0.7295089818
160	0.7278300068
161	0.7261483964
162	0.7244874488
163	0.7228515413
164	0.7212595886
165	0.7196144339
166	0.7179633519
167	0.7162606223
168	0.7146915945
169	0.7129824617
170	0.7114152619
171	0.7098034455
172	0.7082559093
173	0.7067124381
174	0.7052173628
175	0.70366289
176	0.7021886746
177	0.700616648
178	0.6991297164
179	0.6976101393
180	0.6960947154
181	0.6946077845
182	0.6930294938
183	0.6914685847
184	0.6899896421
185	0.6885009229
186	0.6870096705
187	0.6856224324
188	0.6842140161
189	0.6827992672
190	0.6813905069
191	0.6799304681
192	0.6786509974
193	0.677216865
194	0.6758872459
195	0.6745189071
196	0.6732114901
197	0.6718743044
198	0.6706079468
199	0.6692382411
200	0.6679384151
201	0.6666788872
202	0.6653047374
203	0.6639845172
204	0.6626562164
205	0.661455232
206	0.660225922
207	0.6588861823
208	0.6576572123
209	0.6564191526
210	0.6551578844
211	0.6539219278
212	0.6526770021
213	0.6515158193
214	0.6503472898
215	0.649151768
216	0.647921987
217	0.6467818237
218	0.6457263785
219	0.6445514953
220	0.6435197931
221	0.6423982114
222	0.6412708181
223	0.6402810567
224	0.639138724
225	0.6380898167
226	0.6369905577
227	0.6359601382
228	0.6349057621
229	0.6339091761
230	0.6328329415
231	0.6317569187
232	0.6307264459
233	0.6295093523
234	0.6285370903
235	0.6274526678
236	0.6263906521
237	0.6253110842
238	0.6241953036
239	0.6231202409
240	0.6222096002
241	0.6211432567
242	0.6199506327
243	0.6188433637
244	0.6178635431
245	0.6168844246
246	0.6157704351
247	0.6148072809
248	0.6137459328
249	0.6128615558
250	0.6119818165
251	0.6109928465
252	0.6100852368
253	0.6090127925
254	0.6080633738
255	0.6070458965
256	0.6060618441
257	0.6051286901
258	0.6040724083
259	0.6030063305
