iter	Passed	Remaining
354	129058	3506398
355	129500	3508162
356	129873	3508039
357	130213	3507034
358	130570	3506501
359	131008	3508120
360	131407	3508693
361	131876	3511123
362	132272	3511598
363	132695	3512785
364	133104	3513586
365	133519	3514554
366	133952	3515980
367	134421	3518333
368	134818	3518811
369	135215	3519252
370	135618	3519875
371	135980	3519397
372	136352	3519215
373	136727	3519081
374	137107	3519084
375	137443	3517962
376	137819	3517872
377	138174	3517242
378	138533	3516691
379	138939	3517364
380	139305	3517013
381	139681	3516892
382	140026	3516015
383	140375	3515233
384	140742	3514917
385	141115	3514736
386	141467	3514020
387	141813	3513171
388	142167	3512531
389	142514	3511711
390	142881	3511371
391	143231	3510633
392	143607	3510526
393	144001	3510860
394	144365	3510457
395	144709	3509565
396	145062	3508913
397	145405	3508005
398	145774	3507731
399	146126	3507034
400	146465	3506039
401	146869	3506595
402	147232	3506169
403	147575	3505294
404	147956	3505284
405	148345	3505480
406	148674	3504255
407	149021	3503470
408	149361	3502511
409	149701	3501549
410	150041	3500613
411	150469	3501703
412	150839	3501457
413	151187	3500682
414	151537	3499963
415	151911	3499812
416	152257	3499000
417	152664	3499593
418	153155	3502116
419	153691	3505627
420	154066	3505480
421	154456	3505654
422	154876	3506500
423	155351	3508594
424	155736	3508644
425	156178	3509992
426	156557	3509887
427	156912	3509274
428	157264	3508575
429	157650	3508637
430	158029	3508544
431	158388	3508012
432	158735	3507219
433	159153	3507983
434	159504	3507262
435	159868	3506832
436	160249	3506794
437	160615	3506401
438	160991	3506249
439	161351	3505724
440	161717	3505336
441	162067	3504611
442	162459	3504807
443	162801	3503894
444	163156	3503271
445	163493	3502275
446	163912	3503034
447	164327	3503704
448	164810	3505812
449	165287	3507771
450	165638	3507046
451	165982	3506200
452	166398	3506854
453	166808	3507383
454	167281	3509235
455	167665	3509202
456	168067	3509564
457	168451	3509534
458	168822	3509231
459	169186	3508777
460	169564	3508614
461	169988	3509422
462	170357	3509077
463	170711	3508411
464	171045	3507345
465	171406	3506849
466	171756	3506107
467	172156	3506404
468	172516	3505881
469	172885	3505526
470	173227	3504645
471	173592	3504209
472	173930	3503245
473	174309	3503109
474	174660	3502407
475	175000	3501487
476	175365	3501051
477	175726	3500561
478	176067	3499669
479	176522	3501038
480	176890	3500663
481	177244	3500019
482	177580	3499030
483	177930	3498314
484	178284	3497690
485	178627	3496840
486	178998	3496544
487	179375	3496355
488	179754	3496206
489	180104	3495497
490	180467	3495048
491	180814	3494280
492	181166	3493610
493	181535	3493268
494	181875	3492383
495	182222	3491612
496	182568	3490835
497	182911	3490003
498	183255	3489199
499	183630	3488978
500	184001	3488684
501	184373	3488409
502	184746	3488137
503	185208	3489564
504	185716	3491833
505	186254	3494656
506	186700	3495752
507	187080	3495615
508	187433	3494960
509	187777	3494132
510	188197	3494733
511	188617	3495326
512	188993	3495089
513	189357	3494633
514	189736	3494463
515	190106	3494118
516	190474	3493751
517	190864	3493769
518	191245	3493638
519	191606	3493139
520	191977	3492811
521	192422	3493839
522	192830	3494177
523	193298	3495601
524	193651	3494940
525	193995	3494128
526	194357	3493632
527	194729	3493328
528	195096	3492920
529	195529	3493708
530	195956	3494381
531	196364	3494693
532	196739	3494439
533	197116	3494199
534	197497	3494038
535	197886	3494033
536	198262	3493776
537	198603	3492918
538	198960	3492326
539	199303	3491505
540	199638	3490543
541	199985	3489788
542	200380	3489872
543	200835	3491000
544	201185	3490298
545	201539	3489663
546	201879	3488789
547	202282	3489008
548	202635	3488352
549	203002	3487947
550	203359	3487379
551	203710	3486701
552	204070	3486178
553	204431	3485671
554	204809	3485455
555	205185	3485199
556	205582	3485299
557	205927	3484524
558	206283	3483946
559	206687	3484162
560	207155	3485450
561	207554	3485593
562	207923	3485205
563	208276	3484561
564	208629	3483920
565	209068	3484722
566	209428	3484202
567	209818	3484168
568	210182	3483704
